run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000460000,0.000458989
2,1,1,0.000461000,0.000459974
3,2,1,0.000413000,0.000411962
4,3,1,0.000585000,0.000584965
5,4,1,0.000408000,0.000407919
6,5,1,0.000382000,0.000382127
7,6,1,0.000534000,0.000533222
8,7,1,0.000540000,0.000539957
9,8,1,0.000457000,0.000456610
10,9,1,0.000518000,0.000517751
11,10,1,0.000578000,0.000578104
12,11,1,0.000514000,0.000512837
13,12,1,0.000461000,0.000460494
14,13,1,0.000443000,0.000442499
15,14,1,0.000515000,0.000514746
16,15,1,0.000850000,0.000849788
17,16,1,0.000477000,0.000477029
18,17,1,0.000903000,0.000901301
19,18,1,0.000920000,0.000919563
20,19,1,0.000679000,0.000677932
