run,seed,success,cpu_seconds,wall_seconds
1,0,0,124.578650000,124.581220944
2,1,0,124.557083000,124.559735800
3,2,0,125.482062000,125.485190513
4,3,0,124.952338000,124.954900405
5,4,0,124.522727000,124.525338404
6,5,0,124.683269000,124.685714219
7,6,0,124.724834000,124.727266185
8,7,0,124.602056000,124.608799424
9,8,0,125.243600000,125.246312764
10,9,0,125.060617000,125.063386345
11,10,0,125.250643000,125.267035553
12,11,0,124.925032000,124.931809489
13,12,0,124.428761000,124.434293886
14,13,0,124.063203000,124.067848248
15,14,0,124.897962000,124.901950296
16,15,0,124.637456000,124.640797364
17,16,0,124.781943000,124.786476666
18,17,0,124.582809000,124.586634670
19,18,0,124.707642000,124.711271718
20,19,0,124.594692000,124.598802393
