run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000234000,0.000233804
2,1,1,0.000206000,0.000206058
3,2,1,0.000202000,0.000201635
4,3,1,0.000207000,0.000207018
5,4,1,0.000187000,0.000186732
6,5,1,0.000211000,0.000211455
7,6,1,0.000186000,0.000186419
8,7,1,0.000194000,0.000194214
9,8,1,0.000188000,0.000187263
10,9,1,0.000199000,0.000198759
11,10,1,0.000179000,0.000178820
12,11,1,0.000190000,0.000189604
13,12,1,0.000181000,0.000179923
14,13,1,0.000216000,0.000215307
15,14,1,0.000181000,0.000181227
16,15,1,0.000246000,0.000245369
17,16,1,0.000212000,0.000211331
18,17,1,0.000221000,0.000256636
19,18,1,0.000218000,0.000218023
20,19,1,0.000181000,0.000180611
