run,seed,success,cpu_seconds,wall_seconds
1,0,0,70.598306000,70.600736222
2,1,0,70.611093000,70.613127770
3,2,0,70.515679000,70.517527314
4,3,0,70.935668000,70.937601519
5,4,0,70.417394000,70.419233192
6,5,0,70.664244000,70.666108202
7,6,0,70.825232000,70.827142904
8,7,0,70.584931000,70.587350473
9,8,0,70.424863000,70.426810918
10,9,0,70.673780000,70.680996795
11,10,0,70.562345000,70.564297266
12,11,0,70.535477000,70.537325465
13,12,0,70.595187000,70.597395761
14,13,0,70.731157000,70.733765611
15,14,0,70.763980000,70.766071503
16,15,0,70.548481000,70.550460906
17,16,0,70.724472000,70.726676932
18,17,0,70.754247000,70.756431498
19,18,0,70.775881000,70.778117821
20,19,0,70.794586000,70.796496623
