run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000042000,0.000041343
2,1,1,0.000024000,0.000023875
3,2,1,0.000027000,0.000026832
4,3,1,0.000023000,0.000021925
5,4,1,0.000023000,0.000022265
6,5,1,0.000024000,0.000023550
7,6,1,0.000022000,0.000022083
8,7,1,0.000021000,0.000021378
9,8,1,0.000018000,0.000018041
10,9,1,0.000022000,0.000021573
11,10,1,0.000020000,0.000018985
12,11,1,0.000021000,0.000020502
13,12,1,0.000020000,0.000020115
14,13,1,0.000021000,0.000021687
15,14,1,0.000021000,0.000020984
16,15,1,0.000022000,0.000022223
17,16,1,0.000019000,0.000019225
18,17,1,0.000019000,0.000018860
19,18,1,0.000023000,0.000022809
20,19,1,0.000034000,0.000033761
