run,seed,success,cpu_seconds,wall_seconds
1,0,0,46.599019000,46.600570948
2,1,0,46.675722000,46.676768273
3,2,0,46.647352000,46.648871586
4,3,0,46.658797000,46.660364694
5,4,0,46.931002000,46.935394852
6,5,0,47.165882000,47.169892343
7,6,0,46.780595000,46.781650056
8,7,0,46.715900000,46.717907227
9,8,0,46.696030000,46.697839572
10,9,0,46.641220000,46.642802786
11,10,0,46.648231000,46.649228735
12,11,0,46.639372000,46.640889758
13,12,0,46.671555000,46.673076309
14,13,0,46.620590000,46.622041312
15,14,0,46.641280000,46.642276135
16,15,0,46.684630000,46.686022504
17,16,0,46.635102000,46.636730491
18,17,0,46.671169000,46.672735969
19,18,0,46.662477000,46.663545499
20,19,0,46.591646000,46.594272770
