run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000056000,0.000054860
2,1,1,0.000035000,0.000033959
3,2,1,0.000080000,0.000079726
4,3,1,0.000065000,0.000064005
5,4,1,0.000058000,0.000057910
6,5,1,0.000056000,0.000056280
7,6,1,0.000066000,0.000065481
8,7,1,0.000042000,0.000042046
9,8,1,0.000061000,0.000060877
10,9,1,0.000063000,0.000062990
11,10,1,0.000039000,0.000038802
12,11,1,0.000045000,0.000044810
13,12,1,0.000057000,0.000056579
14,13,1,0.000041000,0.000041455
15,14,1,0.000064000,0.000063657
16,15,1,0.000037000,0.000036551
17,16,1,0.000064000,0.000063370
18,17,1,0.000053000,0.000052949
19,18,1,0.000055000,0.000054656
20,19,1,0.000047000,0.000046786
