run,seed,success,cpu_seconds,wall_seconds
1,0,0,54.755730000,54.759470035
2,1,0,54.410124000,54.412124084
3,2,0,54.283272000,54.285076473
4,3,0,54.333979000,54.335577420
5,4,0,54.498844000,54.499698240
6,5,0,54.810989000,54.812430509
7,6,0,54.309852000,54.311422855
8,7,0,55.100497000,55.102525486
9,8,0,55.123510000,55.124986266
10,9,0,55.369248000,55.370692186
11,10,0,54.705118000,54.706508610
12,11,0,56.434627000,56.436786095
13,12,0,57.357565000,57.361777780
14,13,0,54.395963000,54.397960951
15,14,0,54.941560000,54.943121866
16,15,0,55.460584000,55.462287771
17,16,0,54.664004000,54.665667862
18,17,0,54.481575000,54.482881201
19,18,0,54.411264000,54.412491320
20,19,0,54.485620000,54.487074009
