run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001845000,0.001844512
2,1,1,0.001868000,0.001867076
3,2,1,0.001577000,0.001577215
4,3,1,0.001748000,0.001747483
5,4,1,0.001722000,0.001721554
6,5,1,0.002389000,0.002387909
7,6,1,0.001702000,0.001701754
8,7,1,0.001795000,0.001795134
9,8,1,0.001845000,0.001844830
10,9,1,0.001728000,0.001728318
11,10,1,0.001711000,0.001710377
12,11,1,0.001688000,0.001687476
13,12,1,0.001785000,0.001785548
14,13,1,0.001715000,0.001714683
15,14,1,0.001793000,0.001792356
16,15,1,0.001684000,0.001684007
17,16,1,0.001621000,0.001621242
18,17,1,0.001795000,0.001795172
19,18,1,0.001581000,0.001581528
20,19,1,0.001766000,0.001765475
