run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001973000,0.001971049
2,1,1,0.001714000,0.001712949
3,2,1,0.001862000,0.001861659
4,3,1,0.001742000,0.001742404
5,4,1,0.001721000,0.001720593
6,5,1,0.001874000,0.001873538
7,6,1,0.001773000,0.001772731
8,7,1,0.001957000,0.001956525
9,8,1,0.002017000,0.002016499
10,9,1,0.001960000,0.001960243
11,10,1,0.001820000,0.001819510
12,11,1,0.001943000,0.001942800
13,12,1,0.001858000,0.001857471
14,13,1,0.001880000,0.001879508
15,14,1,0.001759000,0.001757890
16,15,1,0.001978000,0.001977441
17,16,1,0.001575000,0.001574395
18,17,1,0.002036000,0.002034816
19,18,1,0.001910000,0.001909196
20,19,1,0.001858000,0.001857660
